RespondentID,dCountry,Country_ISO,Q45B,Q55,Q6,Q21_Gender,Q21_Age,Q30,Q31,Q42,Q62,WEIGHT,mainpropsec_web,mainpropdoc_web,reason_1_web,reason_2_web,reason_3_web,reason_4_web,reason_5_web,reason_6_web,reason_7_web,ISO_Alpha_2_code,ISO_Alpha_3_code,ISO_Numeric
1.00202E+13,202,XX3,2,1,1,1,2,1,2,2,0,0.540379094,0,3,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,1,2,1,1,999,0,0.894663629,0,3,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,1,2,3,1,1,1.372430649,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,1,2,4,2,999,0,1.406383158,1,2,1,2,2,2,2,2,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,2,1,4,2,999,0,2.158327779,1,1,1,2,2,2,2,2,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,1,2,1,2,1,1,0.472329469,1,1,5,2,2,2,2,2,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,2,4,2,1,1,1.700291596,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,3,4,2,2,999,1.982363502,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,1,2,1,2,1,1,0.540379094,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,1,2,2,2,1,0,0.26201114,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,3,4,1,1,1,1.694039944,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,1,2,1,2,2,1,0.575177362,1,1,1,1,1,2,2,2,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,2,4,1,1,0,0.684942355,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,1,2,4,1,3,1,0.894663629,1,1,2,2,2,2,1,2,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,2,4,2,3,1,0.571037716,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,2,2,1,2,1,0,1.134005776,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,1,2,4,1,1,0,0.26201114,1,1,5,2,2,2,1,2,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,1,4,2,2,0,1.289398504,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,1,2,2,2,1,1,0.603028056,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,3,1,2,2,4,1,3,1,0.571037716,1,3,2,2,2,2,1,2,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,1,4,2,3,1,1.372430649,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,1,3,4,2,1,1,0.26201114,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,1,2,1,3,2,0,0.540379094,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,1,2,1,2,2,0,0.472329469,1,1,1,1,1,2,1,1,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,1,4,2,2,0,0.652988056,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,2,1,1,1,1,1.700291596,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,1,2,1,2,3,0,0.472329469,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,1,2,1,2,2,0,0.540379094,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,2,3,1,1,1,0.695378944,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,3,1,1,1,1,2,2,1,1.13519549,1,3,1,2,2,2,1,2,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,1,4,2,2,1,1.289398504,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,1,2,2,2,999,1,0.904542083,1,1,1,1,1,2,2,2,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,2,1,2,1,1,1,1,0.26201114,1,1,5,2,2,1,1,1,6,NY,XX3,99993
1.00202E+13,202,XX3,0,1,1,2,3,4,1,1,1,2.578638924,0,1,5,5,5,5,5,5,6,NY,XX3,99993
1.00202E+13,202,XX3,1,1,1,1,2,1,2,1,0,0.894663629,1,1,5,2,2,2,2,2,6,NY,XX3,99993
