RespondentID,dCountry,Country_ISO,Q45B,Q55,Q6,Q21_Gender,Q21_Age,Q30,Q31,Q42,Q62,WEIGHT,mainpropsec_web,mainpropdoc_web,reason_1_web,reason_2_web,reason_3_web,reason_4_web,reason_5_web,reason_6_web,reason_7_web,ISO_Alpha_2_code,ISO_Alpha_3_code,ISO_Numeric
1.00039E+13,39,PSE,0,1,1,1,2,4,1,1,1,1.570127795,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,3,1,3,0,1.080392923,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,1,4,999,3,1,1.982062755,1,1,1,1,1,1,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,1,4,1,999,1,1.828353414,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,1,3,1,0,1.334900635,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,3,1,2,2,4,1,3,1,1.111308359,1,3,1,1,2,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,2,2,1,1.32137517,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,2,2,4,2,2,1,0.338173014,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,1,1,3,1,3,1,0.66655895,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,3,1,2,2,4,1,3,1,0.494017498,1,3,1,1,1,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,1,4,1,2,1,2.087098998,1,1,1,2,2,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,1,3,3,1,0.493807563,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,1,3,2,1,1,0.463699054,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,3,3,0,1.015875726,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,1,1,0.339618106,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,1,2,2,2,1,0,0.449410468,1,1,5,2,2,2,2,1,2,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,2,4,1,1,1,0.493807563,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,2,3,1,0.273869812,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,2,2,1,1,1.334900635,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,0,1.593513145,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,2,2,3,1,0.444372634,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,1,1,0.599194967,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,1,1,0.465680547,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,2,3,1,0.273869812,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,1,1,2,1,1.736338913,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,1,4,2,3,1,0.463699054,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,2,3,1,0.821609435,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,2,1,1,1,3,4,1,1,0,0.719751395,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,2,3,1,2,1,0.741026247,1,1,1,2,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,2,1,1,1,3,4,2,1,0,0.719751395,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,1,1,1,3,1,1.159247634,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,2,1,2,1,4,1,3,1,0.695699666,1,2,2,1,2,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,1,3,1,2,1,4,1,3,1,2.087098998,1,3,2,2,2,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,3,4,1,3,1,0.273869812,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,3,3,1,0.953935598,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,3,1,1,1,4,1,3,1,1.333117901,1,3,2,2,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,4,1,1,1,0.719751395,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,1,4,1,3,1,1.907871196,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,3,1,1,0,0.524910493,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,2,4,2,3,1,0.684013736,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,1,3,3,999,1.695249148,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,1,4,1,1,1,1.391097161,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,2,1,4,1,3,1,1.391399332,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,1,0.338173014,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,0,0.821609435,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,1,1,1,1,1.23297717,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,3,3,3,1,1.407173569,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,2,1,1,2,3,3,2,1,1,1.095479246,2,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,1,3,1,0,1.046969454,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,1,0.398378286,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,1,4,1,3,1,1.371265061,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,2,1,2,2,4,1,2,1,1.015875726,1,2,1,2,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,1,1,1,1,0.594899498,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,2,2,4,1,3,1,0.695699666,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,2,1,3,1,0.631099503,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,1,0.360130974,0,1,5,5,5,5,5,5,5,PS,PSE,275
